id,section_id,days,times,locations,enrollment_count
1217,347706100,"[""TR""]","[""2pm-3:15pm""]","[""Moore Hall 100""]",138
2479,187096200,"[""MW""]","[""10am-11:50am""]","[""Moore Hall 100""]",235
3244,411027200,"[""TR""]","[""9:30am-10:45am""]","[""Moore Hall 100""]",438
946,405744200,"[""TR""]","[""2pm-3:15pm""]","[""Moore Hall 100""]",28
1523,411045200,"[""MW""]","[""2pm-3:15pm""]","[""Moore Hall 100""]",143
1763,328304200,"[""TR"",""F""]","[""11am-12:15pm"",""11am-11:50am""]","[""Moore Hall 100"",""Renee and David Kaplan Hall A51""]",248
3920,669636200,"[""MWF""]","[""8am-8:50am""]","[""Moore Hall 100""]",0
458,387015200,"[""MWF""]","[""9am-9:50am""]","[""Moore Hall 100""]",431
1820,145636200,"[""MWF""]","[""8am-8:50am""]","[""Moore Hall 100""]",50
1313,269636200,"[""MWF""]","[""8am-8:50am""]","[""Moore Hall 100""]",67
3317,347726100,"[""TR""]","[""3:30pm-4:45pm""]","[""Moore Hall 100""]",139
1993,187093200,"[""MW""]","[""4pm-5:50pm""]","[""Moore Hall 100""]",409
4926,128300200,"[""TR""]","[""12:30pm-1:45pm""]","[""Moore Hall 100""]",316
2042,387702200,"[""MW""]","[""12pm-1:50pm""]","[""Moore Hall 100""]",94
3654,545336200,"[""MWF""]","[""8am-8:50am""]","[""Moore Hall 100""]",2
