term,id,count
99W,1,3289
99S,2,3224
99F,3,3054
00W,4,3170
00S,5,3207
00F,6,3121
01W,7,3375
01S,8,3508
01F,9,3170
02W,10,3563
02S,11,3600
02F,12,3379
03W,13,3475
03S,14,3634
03F,15,3410
04W,16,3672
04S,17,3973
04F,18,3839
05W,19,4173
05S,20,4224
05F,21,3850
06W,22,4115
06S,23,4295
06F,24,4001
07W,25,4304
07S,26,4448
07F,27,4090
08W,28,4401
08S,29,4588
08F,30,4159
09W,31,4546
09S,32,4632
09F,33,4314
10W,34,4495
10S,35,4741
10F,36,4295
11W,37,4405
11F,39,4249
12W,40,4448
12S,41,4603
12F,42,4269
13W,43,4445
13S,44,4643
13F,45,4405
14W,46,4565
14S,47,4627
14F,48,4358
15W,49,4588
15S,50,4657
15F,51,4395
16W,52,4735
16S,53,4756
16F,54,4512
17W,55,4751
17S,56,4840
17F,57,4497
18W,58,4618
18S,59,4816
18F,60,4538
19W,61,4772
19S,62,4893
19F,63,4558
20W,64,4767
20S,65,3518
